time,id,x,y,angle
0.1,AUG_0,74.21,13.66,43.61
0.2,AUG_0,74.22,13.67,43.6
0.3,AUG_0,74.23,13.68,43.58
0.4,AUG_0,74.25,13.7,43.54
0.5,AUG_0,74.27,13.73,43.5
0.6,AUG_0,74.29,13.76,43.44
0.7,AUG_0,74.33,13.79,43.38
0.8,AUG_0,74.36,13.84,43.3
0.9,AUG_0,74.4,13.88,43.22
1,AUG_0,74.45,13.94,43.12
1.1,AUG_0,74.5,14,43.01
1.2,AUG_0,74.56,14.07,42.9
1.3,AUG_0,74.62,14.14,42.77
1.4,AUG_0,74.68,14.21,42.63
1.5,AUG_0,74.75,14.3,42.49
1.6,AUG_0,74.82,14.39,42.33
1.7,AUG_0,74.89,14.48,42.17
1.8,AUG_0,74.96,14.57,42.01
1.9,AUG_0,75.04,14.68,41.83
2,AUG_0,75.13,14.78,41.65
2.1,AUG_0,75.22,14.89,41.46
2.2,AUG_0,75.31,15.01,41.26
2.3,AUG_0,75.4,15.13,41.05
2.4,AUG_0,75.5,15.25,40.84
2.5,AUG_0,75.6,15.38,40.63
2.6,AUG_0,75.7,15.51,40.4
2.7,AUG_0,75.8,15.65,40.18
2.8,AUG_0,75.91,15.79,39.96
2.9,AUG_0,76.02,15.94,39.73
3,AUG_0,76.13,16.1,39.5
3.1,AUG_0,76.25,16.26,39.26
3.2,AUG_0,76.37,16.42,39.01
3.3,AUG_0,76.49,16.59,38.75
3.4,AUG_0,76.61,16.76,38.49
3.5,AUG_0,76.74,16.94,38.22
3.6,AUG_0,76.87,17.13,37.91
3.7,AUG_0,77,17.32,37.58
3.8,AUG_0,77.13,17.52,37.24
3.9,AUG_0,77.26,17.73,36.89
4,AUG_0,77.39,17.94,36.54
4.1,AUG_0,77.53,18.15,36.18
4.2,AUG_0,77.67,18.37,35.81
4.3,AUG_0,77.81,18.59,35.47
4.4,AUG_0,77.96,18.83,35.12
4.5,AUG_0,78.1,19.06,34.77
4.6,AUG_0,78.25,19.3,34.41
4.7,AUG_0,78.4,19.55,34.04
4.8,AUG_0,78.56,19.8,33.66
4.9,AUG_0,78.71,20.07,33.25
5,AUG_0,78.85,20.33,32.81
5.1,AUG_0,79,20.61,32.36
5.2,AUG_0,79.16,20.89,31.9
5.3,AUG_0,79.31,21.18,31.43
5.4,AUG_0,79.47,21.47,30.98
5.5,AUG_0,79.62,21.77,30.58
5.6,AUG_0,79.78,22.07,30.18
5.7,AUG_0,79.93,22.39,29.77
5.8,AUG_0,80.09,22.7,29.35
5.9,AUG_0,80.25,23.03,28.91
6,AUG_0,80.4,23.36,28.35
6.1,AUG_0,80.55,23.7,27.8
6.2,AUG_0,80.7,24.04,27.23
6.3,AUG_0,80.85,24.39,26.66
6.4,AUG_0,81,24.74,26.14
6.5,AUG_0,81.15,25.1,25.65
6.6,AUG_0,81.3,25.46,25.16
6.7,AUG_0,81.44,25.83,24.66
6.8,AUG_0,81.59,26.2,24.15
6.9,AUG_0,81.73,26.59,23.58
7,AUG_0,81.87,26.97,23
7.1,AUG_0,82.01,27.36,22.42
7.2,AUG_0,82.15,27.76,21.83
7.3,AUG_0,82.27,28.16,21.33
7.4,AUG_0,82.4,28.57,20.81
7.5,AUG_0,82.53,28.98,20.29
7.6,AUG_0,82.66,29.39,19.77
7.7,AUG_0,82.77,29.81,19.15
7.8,AUG_0,82.88,30.23,18.53
7.9,AUG_0,82.99,30.66,17.9
8,AUG_0,83.11,31.08,17.27
8.1,AUG_0,83.2,31.52,16.68
8.2,AUG_0,83.3,31.95,16.09
8.3,AUG_0,83.4,32.39,15.5
8.4,AUG_0,83.5,32.84,14.89
8.5,AUG_0,83.58,33.29,14.26
8.6,AUG_0,83.67,33.74,13.63
8.7,AUG_0,83.75,34.19,12.99
8.8,AUG_0,83.82,34.65,12.38
8.9,AUG_0,83.89,35.11,11.81
9,AUG_0,83.96,35.57,11.24
9.1,AUG_0,84.03,36.04,10.66
9.2,AUG_0,84.08,36.51,10.05
9.3,AUG_0,84.13,36.98,9.43
9.4,AUG_0,84.18,37.45,8.8
9.5,AUG_0,84.23,37.93,8.18
9.6,AUG_0,84.26,38.41,7.53
9.7,AUG_0,84.29,38.89,6.88
9.8,AUG_0,84.31,39.37,6.22
9.9,AUG_0,84.33,39.86,5.55
10,AUG_0,84.34,40.35,4.86
10.1,AUG_0,84.35,40.84,4.17
10.2,AUG_0,84.36,41.34,3.47
10.3,AUG_0,84.35,41.78,2.85
10.4,AUG_0,84.34,42.28,2.19
10.5,AUG_0,84.34,42.77,1.52
10.6,AUG_0,84.32,43.27,0.88
10.7,AUG_0,84.29,43.76,0.24
10.8,AUG_0,84.26,44.26,359.61
10.9,AUG_0,84.24,44.75,358.97
11,AUG_0,84.19,45.25,358.32
11.1,AUG_0,84.14,45.74,357.65
11.2,AUG_0,84.08,46.24,356.97
11.3,AUG_0,84.03,46.74,356.33
11.4,AUG_0,83.95,47.23,355.63
11.5,AUG_0,83.88,47.72,354.93
11.6,AUG_0,83.81,48.22,354.22
11.7,AUG_0,83.72,48.71,353.55
11.8,AUG_0,83.63,49.2,352.87
11.9,AUG_0,83.54,49.69,352.19
12,AUG_0,83.44,50.18,351.53
12.1,AUG_0,83.33,50.67,350.87
12.2,AUG_0,83.22,51.16,350.22
12.3,AUG_0,83.11,51.65,349.56
12.4,AUG_0,82.99,52.13,348.95
12.5,AUG_0,82.86,52.61,348.34
12.6,AUG_0,82.74,53.09,347.73
12.7,AUG_0,82.6,53.57,347.08
12.8,AUG_0,82.45,54.04,346.4
12.9,AUG_0,82.3,54.51,345.72
13,AUG_0,82.15,54.98,345.04
13.1,AUG_0,81.99,55.44,344.39
13.2,AUG_0,81.82,55.91,343.74
13.3,AUG_0,81.66,56.37,343.09
13.4,AUG_0,81.48,56.83,342.42
13.5,AUG_0,81.3,57.29,341.71
13.6,AUG_0,81.11,57.74,341.01
13.7,AUG_0,80.93,58.2,340.3
13.8,AUG_0,80.73,58.65,339.7
13.9,AUG_0,80.53,59.1,339.11
14,AUG_0,80.33,59.55,338.51
14.1,AUG_0,80.13,60,337.88
14.2,AUG_0,79.9,60.43,337.19
14.3,AUG_0,79.68,60.87,336.51
14.4,AUG_0,79.46,61.3,335.83
14.5,AUG_0,79.23,61.73,335.21
14.6,AUG_0,79,62.16,334.6
14.7,AUG_0,78.77,62.58,334
14.8,AUG_0,78.53,63,333.36
14.9,AUG_0,78.28,63.41,332.63
15,AUG_0,78.03,63.81,331.91
15.1,AUG_0,77.78,64.22,331.19
15.2,AUG_0,77.52,64.62,330.58
15.3,AUG_0,77.26,65.03,330.02
15.4,AUG_0,77,65.42,329.46
15.5,AUG_0,76.74,65.82,328.9
15.6,AUG_0,76.46,66.21,328.22
15.7,AUG_0,76.19,66.59,327.54
15.8,AUG_0,75.91,66.97,326.86
15.9,AUG_0,75.62,67.35,326.22
16,AUG_0,75.33,67.72,325.62
16.1,AUG_0,75.04,68.09,325.02
16.2,AUG_0,74.75,68.46,324.42
16.3,AUG_0,74.45,68.82,323.77
16.4,AUG_0,74.14,69.18,323.1
16.5,AUG_0,73.84,69.54,322.43
16.6,AUG_0,73.53,69.9,321.77
16.7,AUG_0,73.21,70.25,321.19
16.8,AUG_0,72.89,70.6,320.61
16.9,AUG_0,72.57,70.95,320.03
17,AUG_0,72.25,71.29,319.44
17.1,AUG_0,71.91,71.63,318.82
17.2,AUG_0,71.58,71.96,318.19
17.3,AUG_0,71.24,72.3,317.57
17.4,AUG_0,70.89,72.62,316.92
17.5,AUG_0,70.54,72.94,316.25
17.6,AUG_0,70.19,73.26,315.59
17.7,AUG_0,69.84,73.58,314.92
17.8,AUG_0,69.47,73.9,314.25
17.9,AUG_0,69.11,74.21,313.58
18,AUG_0,68.74,74.52,312.91
18.1,AUG_0,68.37,74.82,312.26
18.2,AUG_0,67.99,75.12,311.63
18.3,AUG_0,67.62,75.41,311
18.4,AUG_0,67.24,75.71,310.38
18.5,AUG_0,66.85,75.99,309.79
18.6,AUG_0,66.46,76.28,309.2
18.7,AUG_0,66.07,76.56,308.61
18.8,AUG_0,65.68,76.84,307.99
18.9,AUG_0,65.28,77.1,307.31
19,AUG_0,64.87,77.36,306.62
19.1,AUG_0,64.46,77.63,305.93
19.2,AUG_0,64.05,77.88,305.29
19.3,AUG_0,63.64,78.14,304.67
19.4,AUG_0,63.22,78.4,304.05
19.5,AUG_0,62.8,78.65,303.42
19.6,AUG_0,62.37,78.89,302.71
19.7,AUG_0,61.93,79.12,302
19.8,AUG_0,61.5,79.36,301.3
19.9,AUG_0,61.06,79.59,300.68
20,AUG_0,60.62,79.81,300.09
20.1,AUG_0,60.18,80.03,299.51
20.2,AUG_0,59.74,80.25,298.91
20.3,AUG_0,59.28,80.45,298.16
20.4,AUG_0,58.83,80.65,297.41
20.5,AUG_0,58.37,80.85,296.65
20.6,AUG_0,57.91,81.05,295.99
20.7,AUG_0,57.44,81.24,295.36
20.8,AUG_0,56.98,81.42,294.73
20.9,AUG_0,56.51,81.61,294.09
21,AUG_0,56.04,81.78,293.38
21.1,AUG_0,55.57,81.95,292.67
21.2,AUG_0,55.09,82.11,291.96
21.3,AUG_0,54.61,82.27,291.34
21.4,AUG_0,54.13,82.42,290.73
21.5,AUG_0,53.64,82.57,290.12
21.6,AUG_0,53.16,82.72,289.46
21.7,AUG_0,52.66,82.85,288.73
21.8,AUG_0,52.17,82.98,288
21.9,AUG_0,51.68,83.11,287.27
22,AUG_0,51.18,83.22,286.59
22.1,AUG_0,50.67,83.33,285.91
22.2,AUG_0,50.17,83.45,285.23
22.3,AUG_0,49.67,83.55,284.53
22.4,AUG_0,49.16,83.64,283.82
22.5,AUG_0,48.65,83.73,283.12
22.6,AUG_0,48.15,83.82,282.43
22.7,AUG_0,47.64,83.89,281.79
22.8,AUG_0,47.13,83.97,281.16
22.9,AUG_0,46.62,84.04,280.53
23,AUG_0,46.1,84.1,279.85
23.1,AUG_0,45.59,84.15,279.17
23.2,AUG_0,45.08,84.21,278.5
23.3,AUG_0,44.56,84.25,277.81
23.4,AUG_0,44.05,84.28,277.11
23.5,AUG_0,43.53,84.31,276.42
23.6,AUG_0,43.02,84.33,275.72
23.7,AUG_0,42.51,84.34,275
23.8,AUG_0,41.99,84.35,274.27
23.9,AUG_0,41.48,84.36,273.55
24,AUG_0,41.02,84.35,272.9
24.1,AUG_0,40.5,84.35,272.21
24.2,AUG_0,39.99,84.34,271.52
24.3,AUG_0,39.48,84.32,270.86
24.4,AUG_0,38.97,84.29,270.21
24.5,AUG_0,38.46,84.26,269.55
24.6,AUG_0,37.95,84.23,268.9
24.7,AUG_0,37.44,84.18,268.22
24.8,AUG_0,36.93,84.13,267.53
24.9,AUG_0,36.42,84.07,266.84
25,AUG_0,35.91,84.01,266.18
25.1,AUG_0,35.41,83.94,265.46
25.2,AUG_0,34.91,83.86,264.74
25.3,AUG_0,34.41,83.79,264.04
25.4,AUG_0,33.91,83.7,263.36
25.5,AUG_0,33.41,83.61,262.67
25.6,AUG_0,32.92,83.52,261.99
25.7,AUG_0,32.43,83.41,261.33
25.8,AUG_0,31.94,83.3,260.68
25.9,AUG_0,31.46,83.19,260.02
26,AUG_0,30.97,83.08,259.38
26.1,AUG_0,30.49,82.95,258.77
26.2,AUG_0,30.01,82.83,258.16
26.3,AUG_0,29.53,82.7,257.55
26.4,AUG_0,29.06,82.56,256.89
